"","id","baseMeanA","baseMeanB","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ZN1","ZN2","ZN3","ZP1","ZP2","ZP3","gene_name"
"13","ENSG00000125375",1426.18092078844,657.300908315611,1041.74091455202,-1.04448819817489,0.156370583518651,-6.67956961387374,2.39644985005198e-11,1.16122818636153e-09,1841,2005,1193,602,548,563,"DMAC2L"
"14","ENSG00000171570",58.5663017481619,0.661534269891024,29.6139180090265,-2.0216814424654,0.311541171986067,-6.48929138186532,8.62410318753711e-11,3.57928838915861e-09,65,54,80,0,2,0,"RAB4B-EGLN2"
"15","ENSG00000278048",1202.52726427564,555.731189179005,879.129226727322,-1.00407011378972,0.185504951381615,-5.41263241930496,6.2104895549901e-08,1.42394407467523e-06,1799,1570,882,338,561,585,"U2"
"16","ENSG00000167447",4702.93406472018,1425.94822246038,3064.44114359028,-1.3443153337406,0.257771463038742,-5.21514413540245,1.83674358187651e-07,3.73570979090211e-06,6322,7714,2869,1019,1352,1405,"SMG8"
"17","ENSG00000250899",283.912540001139,127.853101089663,205.882820545401,-1.00254661169262,0.206864148777685,-4.84640097192506,1.25721296544472e-06,2.01507766098263e-05,332,374,287,78,141,124,"AC125807"
"18","ENSG00000234160",192.117990737164,78.4817152645346,135.299853000849,-1.07403112410367,0.233726214038094,-4.59525316201211,4.32224178631068e-06,5.84201781627801e-05,261,247,167,64,76,67,"AL513165"
"19","ENSG00000232748",267.168763602298,94.3097787598959,180.739271181097,-1.17077986941499,0.257751404417374,-4.54228318197311,5.56482190403069e-06,7.31177321320531e-05,418,380,156,50,104,100,"AC135050"
"20","ENSG00000279407",356.336143219256,147.948346238075,252.142244728666,-1.05200894610089,0.234423392352527,-4.48764492119829,7.20148235886115e-06,9.08795958645076e-05,440,520,301,80,117,195,"AC007191"
"21","ENSG00000273419",105.931076120339,18.1140957887387,62.0225859545387,-1.36129307605952,0.310412670352004,-4.38543012601846,1.15756812843109e-05,0.00013542898806865,72,92,189,24,6,15,"AC004877"
"22","ENSG00000206838",269.858014618453,85.3483360985952,177.603175358524,-1.17518567474277,0.283110790349792,-4.15097451174783,3.3106263680836e-05,0.00033214026865709,105,480,362,77,89,59,"SNORA5A"
"23","ENSG00000235989",43.3727498999247,2.34290597506048,22.8578279374926,-1.14152537931777,0.296640525298771,-3.84817744698924,0.00011899984718102,0.00100175228422327,6,82,64,3,2,1,"MORC2-AS1"
"24","ENSG00000209042",90.1327915021378,18.2648850152167,54.1988382586773,-1.13447113244447,0.312037324972715,-3.63569048203982,0.00027723704807344,0.00206674613038414,151,145,31,27,6,12,"SNORD12C"
"25","ENSG00000206567",98.5303170604927,24.6500612147926,61.5901891376427,-1.03663239065726,0.311435220864193,-3.32856504726967,0.00087294617364785,0.00539522058210171,30,232,96,13,39,16,"AC022007"
"26","ENSG00000185745",368.257609907597,16484.3006370721,8426.27912348987,5.24778850147234,0.125754911686501,41.730286563715,0,0,512,485,301,13269,15365,14786,"IFIT1"
"27","ENSG00000165949",28.0816548947741,3112.67743173852,1570.37954331664,6.17944002803185,0.173627974691304,35.5901175430882,1.99210149902923e-277,1.87267501416243e-273,30,29,37,2535,2658,2969,"IFI27"
